tree_id;max_buds;80%;;treatment;01.02.2021;02.02.2021;03.02.2021;04.02.2021;05.02.2021;06.02.2021;07.02.2021;08.02.2021;09.02.2021;10.02.2021;11.02.2021;12.02.2021;13.02.2021;14.02.2021;15.02.2021;16.02.2021;17.02.2021;18.02.2021;19.02.2021;20.02.2021;21.02.2021;22.02.2021;23.02.2021;24.02.2021;25.02.2021;26.02.2021;27.02.2021;28.02.2021;01.03.2021;02.03.2021;03.03.2021;04.03.2021;05.03.2021
34;147;117,6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;16;41;69;104;114;114;114;119;130;9999;9999;9999;9999;9999;9999;9999;9999
35;61;48,8;FALSCH;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;5;9;14;17;17;27;36;39;9999;9999;9999;9999;9999;9999;9999;9999
36;92;73,6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;17;59;66;72;89;94;96;97;99;98;9999;9999;9999;9999;9999;9999;9999;9999
100;89;71,2;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;17;24;37;49;52;52;56;62;59;62
101;68;54,4;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;11;15;27;23;34
102;117;93,6;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;14;48;85;84;9999;9999;9999;9999;9999;9999;9999;9999
103;145;116;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;38;47;84;86;105;110;121;9999;9999;9999
104;74;59,2;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;19;47;50;50;52;61;9999;9999;9999;9999
105;152;121,6;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;14;43;48;95;135;135;140;149;9999;9999;9999;9999;9999;9999
106;78;62,4;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;24;43;31;31;31;42;42;42
107;115;92;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;28;54;66;78;104;106;9999;9999;9999;9999;9999;9999;9999;9999
108;81;64,8;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;42;48;66;66;75;75;9999;9999;9999;9999
109;59;47,2;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;5;5;5;5;5;5
110;77;61,6;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;16;28;32;39;39;44;44;44;56
111;120;96;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;20;39;76;84;84;100;100;110;115;9999;9999;9999;9999
112;114;91,2;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;36;76;78;90;107;9999;9999;9999;9999;9999;9999
113;151;120,8;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;14;25;26;67;68;100
114;98;78,4;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;14;16;41;74;77;78;79;73;75;75;75;79;9999
115;149;119,2;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;9;12;24;24;38;64;82;99
116;196;156,8;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;6;8;18;20;24
117;51;40,8;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;16;16;21;24;31;24;24;24;24
118;125;100;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;6;18;49;56;62;71;84;84;88;88
119;82;65,6;FALSCH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;22;32;46;48;54;54;54;54;56
